description,cusip,symbol
Agilent Technologies,00846U101,A
Alcoa Corp,013872106,AA
Ares Acquisition Corp Cl A,G33032106,AAC
Ares Acquisition Corp Units,,AAC.U
Ares Acquisition Corp WT,,AAC.W
Arlington Asset Investment Corp [Aaic/Pb],,AAI-B
Arlington Asset Investment Corp [Aaic/Pc],,AAI-C
Arlington Asset Investment Corp,,AAIC
Arlington Asset Investment Corp 6.000%,041356809,AAIN
Apollo Asset Management Inc [Aam/Pa],,AAM-A
Apollo Asset Management Inc [Aam/Pb],,AAM-B
Aarons Holdings Company,00258W108,AAN
Advance Auto Parts Inc,00751Y106,AAP
Accelerate Acquisition Corp [Aaqc.U],,AAQ.U
Accelerate Acquisition Corp WT [Aaqc/W],,AAQ.W
Accelerate Acquisition Corp Cl A,00439D102,AAQC
American Assets Trust,024013104,AAT
Alliancebernstein Holding LP,01881G106,AB
Abb Ltd ADR,000375204,ABB
Abbvie Inc,00287Y109,ABBV
Amerisourcebergen Corp,03073E105,ABC
Ambev S.A. ADR,02319V103,ABEV
Asbury Automotive Group Inc,043436104,ABG
ABM Industries Inc,000957100,ABM
Arbor Realty Trust,038923108,ABR
Arbor Realty Trust Inc,,ABR-D
Arbor Realty Trust Inc,,ABR-E
Arbor Realty Trust Inc,,ABR-F
Abbott Laboratories,002824100,ABT
Associated Capital Group Inc,045528106,AC
Arcosa Inc,039653100,ACA
Athena Consumer Acquisition Corp [Acaq.U],,ACA.U
Athena Consumer Acquisition Corp [Acaq/W],,ACA.W
Athena Consumer Acquisition Corp Cl A,04684M106,ACAQ
American Campus Communities Inc,024835100,ACC
Acco Brands Corp,00081T108,ACCO
Ascendant Digital Acquisition III [Acdi.U],,ACD.U
Ascendant Digital Acquisition III WT [Acdi/W],,ACD.W
Ascendant Digital Acquisition III Cl A,G05157105,ACDI
Accel Entertainment Inc,00436Q106,ACEL
Aluminum Corp of China Ltd ADR,022276109,ACH
Archer Aviation Inc WT [Achr.W],,ACH.W
Archer Aviation Inc,03945R102,ACHR
Albertsons Companies Inc Cl A,013091103,ACI
Atlas Crest Investment Corp II [Acii.U],,ACI.S
Atlas Crest Investment Corp II WT [Acii/W],,ACI.T
Atlas Crest Investment Corp II Cl A,049287105,ACII
Aecom Technology Corp,00766T100,ACM
Accenture Plc,G1150G111,ACN
Aberdeen Income Credit Strategies,003057106,ACP
Aberdeen Income Credit Strategies Fund,,ACP-A
Acres Commercial Realty Corp,00489Q102,ACR
Acres Commercial Realty Corp Pfd,,ACR-C
Acres Commercial Realty Corp,,ACR-D
Acropolis Infrastructure Acquisition [Acro.U],,ACR.U
Acropolis Infrastructure Acquisition WT [Acro/W],,ACR.W
Ares Commercial Real Estate Cor,04013V108,ACRE
Acropolis Infrastructure Acquisition Corp Cl A,005029103,ACRO
Allianzgi Diversified Income &,92840N100,ACV
Agree Realty Corp,008492100,ADC
Agree Realty Corp,,ADC-A
Adc Therapeutics Sa,H0036K147,ADCT
Adit Edtech Acquisition Corp [Adex.U],,ADE.U
Adit Edtech Acquisition Corp WT [Adex/W],,ADE.W
Adit Edtech Acquisition Corp,007024102,ADEX
Archer Daniels Midland,039483102,ADM
Adient Plc,G0084W101,ADNT
ADT Inc,00090Q103,ADT
Adams Diversified Equity Fund,006212104,ADX
Ameren Corp,023608102,AEE
Aegon Funding Company Llc 5.10%,00775V104,AEFC
Aegon N.V. ADR,007924103,AEG
American Equity Investment Life,025676206,AEL
American Equity Investment Life Holding Co. 5.95,,AEL-A
American Equity Investment Life Holding Co.,,AEL-B
Agnico-Eagle Mines Ltd,008474108,AEM
Aenza S.A.A. ADR,00776D103,AENZ
American Eagle Outfitters,02553E106,AEO
Aercap Holdings N.V.,N00985106,AER
The Aes Corp,00130H105,AES
Aes Corp,,AESC
Aeva Technologies Inc WT [Aeva/S],,AEV.W
Aeva Technologies Inc,00835Q103,AEVA
Alliance National Municipal,01864U106,AFB
American Financial Group,025932104,AFG
American Financial Group Inc 5.875%,025932807,AFGB
American Financial Group Inc 5.125%,025932880,AFGC
American Financial Group Inc 5.625%,025932872,AFGD
American Financial Group Inc 4.500%,025932864,AFGE
Armstrong Flooring Inc,04238R106,AFI
Aflac Inc,001055102,AFL
Apollo Senior Floating Rate Fund Inc,037636107,AFT
Afternext Healthtech Acquisition [Aftr.U],,AFT.U
Afternext Healthtech Acquisition WT [Aftr/U],,AFT.W
Afternext Healthtech Acquisition Corp Cl A,G01109100,AFTR
First Majestic Silver,32076V103,AG
African Gold Acquisition Corp [Agac.U],,AGA.U
African Gold Acquisition Corp WT [Agac/W],,AGA.W
African Gold Acquisition Corp Cl A,G0112R108,AGAC
Altimeter Growth Corp 2 Cl A,G0371B109,AGCB
Agco Corp,001084102,AGCO
Aberdeen Global Dynamic Dividend Fund,00302M106,AGD
Alamos Gold Inc,011532108,AGI
Agilon Health Inc,00857U107,AGL
Federal Agricultural Mortgage Corp,313148306,AGM
Federal Agricultural Mortgage Corp [Agm/Pc],,AGM-C
Federal Agricultural Mortgage Corp [Agm/Pd],,AGM-D
Federal Agricultural Mortgage Corp [Agm/Pe],,AGM-E
Federal Agricultural Mortgage Corp [Agm/Pf],,AGM-F
Federal Agricultural Mortgage Corp,,AGM-G
Federal Agricultural Mortgage Corp,,AGM.A
Assured Guaranty Ltd,G0585R106,AGO
Avangrid Inc,05351W103,AGR
Adecoagro S.A.,L00849106,AGRO
Playags Inc,72814N104,AGS
Agiliti Inc,02151Y108,AGTI
Argan Inc,04010E109,AGX
Armada Hoffler Properties Inc,04208T108,AHH
Armada Hoffler Pptys Inc [Ahh/Pa],,AHH-A
Aspen Insurance Holdings Ltd [Ahl/Pc],,AHL-C
Aspen Insurance Holdings Ltd [Ahl/Pd],,AHL-D
Aspen Insurance Holdings Ltd [Ahl/Pe],,AHL-E
Ashford Hospitality Trust Inc,044103109,AHT
Ashford Hospitality TR Inc [Aht/Pd],,AHT-D
Ashford Hospitality TR Inc [Aht/Pf],,AHT-F
Ashford Hospitality TR Inc [Aht/Pg],,AHT-G
Ashford Hospitality TR Inc [Aht/Ph],,AHT-H
Ashford Hospitality TR Inc [Aht/Pi],,AHT-I
C3.Ai Inc Cl A,12468P104,AI
Arlington Asset Investment Cor,041356502,AIC
Apollo Tactical Income Fund Inc,037638103,AIF
American International Group,026874107,AIG
American International Group Inc [Aig/Pa],,AIG-A
Albany International Corp,012348108,AIN
Virtus Allianzgi Artificial Intel & Tech Opp,92838Y100,AIO
AAR Corp,000361105,AIR
Apartment Income REIT Corp,03750L109,AIRC
Applied Industrial Technologies,03820C105,AIT
Meta Data Ltd ADR,,AIU
Apartment Investment and Management,03748R754,AIV
Assurant Inc,04621X108,AIZ
Assurant Inc 5.25% Subordinated Notes Due 2061,04621X306,AIZN
Arthur J. Gallagher & Company,363576109,AJG
Aerojet Rocketdyne Holdings,007800105,AJRD
Great Ajax Corp,38983D300,AJX
Great Ajax Corp 7.25% Convertible Senior Notes,38983D409,AJXA
A.K.A. Brands Holding Corp,00152K101,AKA
Embotell Andina Sa Cl A ADR,,AKO.A
Embotell Andna Sa Cl B ADR,,AKO.B
Acadia Realty Trust,004239109,AKR
Air Lease Corp Cl A,00912X302,AL
Air Lease Corp [Al/Pa],,AL-A
Albemarle Corp,012653101,ALB
Alcon Inc,H01301128,ALC
Altc Acquisition Corp Cl A,02156V109,ALCC
Allete Inc,018522300,ALE
Alexander and Baldwin Inc,014482103,ALEX
Alamo Group,011311107,ALG
Altera Infrastructure LP 7.25% Ser A [Alin/Pa],,ALI-A
Altera Infrastructure LP 8.50% Ser B [Alin/Pb],,ALI-B
Altera Infrastructure LP 8.875% Ser E [Alin/Pe],,ALI-E
Alight Inc Cl A,01626W101,ALIT
Alaska Air Group,011659109,ALK
Allstate Corp,020002101,ALL
Allstate Corp [All/Pb],,ALL-B
Allstate Corp [All/Pg],,ALL-G
Allstate Corp [All/Ph],,ALL-H
Allstate Corp [All/Pi],,ALL-I
Allego N V WT [Allg/W],,ALL.W
Allegion Plc,G0176J109,ALLE
Allego N.V.,N0796A100,ALLG
Ally Financial,02005N100,ALLY
Alabama Power Co. [Alp/Pq],,ALP-Q
Allison Transmission Holdings,01973R101,ALSN
Alta Equipment Group Inc,,ALT-A
Alta Equipment Group Inc,02128L106,ALTG
Autoliv Inc,052800109,ALV
Alexander's Inc,014752109,ALX
Antero Midstream Corp,03676B102,AM
Ambrx Biopharma Inc ADR,02290A102,AMAM
Ambac Financial Group Inc WT [Ambc/W],,AMB.W
